task,model,split,class_or_average,status,precision,recall,f1-score,support
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,train,barrier_modulation,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,train,combination,ok,1.0,1.0,1.0,65.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,train,pro_resolution,ok,1.0,1.0,1.0,35.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,train,macro avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,train,weighted avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,test,anti_cytokine,ok,0.4444444444444444,0.2857142857142857,0.34782608695652173,14.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,test,combination,ok,0.5151515151515151,0.7727272727272727,0.6181818181818182,22.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,test,pro_resolution,ok,0.25,0.16666666666666666,0.2,12.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,test,macro avg,ok,0.24191919191919192,0.24502164502164506,0.23320158102766797,50.0
best_intervention_all_models,Hybrid Type II: MM prediction + AI residual correction,test,weighted avg,ok,0.4111111111111111,0.46,0.4173913043478261,50.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,anti_cytokine,ok,1.0,0.9761904761904762,0.9879518072289156,42.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,anti_exhaustion,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,train,barrier_modulation,ok,0.8,1.0,0.8888888888888888,4.0
