feature,importance
rna_IL6_JAK_STAT3_gene02_logCPM,0.0002896249121501274
rna_IL6_JAK_STAT3_module_mean_logCPM,0.0002891018007702066
rna_EXHAUSTION_PD1_LAG3_TIM3_gene05_logCPM,0.00028527202390075045
rna_INFLAMMATORY_RESPONSE_gene02_logCPM,0.0002841192443185488
rna_MACROPHAGE_spatial_var_proxy,0.00028326755267096186
mech_total_cells_late_slope,0.0002802778462188697
rna_MYELOID_SUPPRESSION_gene03_logCPM,0.00027914334371233174
bulk_IFNG_RESPONSE_std,0.000277978761920562
rna_TGFB_SIGNALING_gene04_logCPM,0.00027493988002061576
mech_mean_activation_late_slope,0.0002741300508347213
mech_count_nk_cell_final,0.00027401276659086784
rna_APOPTOSIS_gene05_logCPM,0.00027386882336133584
rna_M2_REPAIR_CD163_MRC1_IL10_module_sd_logCPM,0.00027126026173974934
spatial_MYELOID_SUPPRESSION_moran_proxy,0.0002684273193725097
rna_HYPOXIA_spatial_var_proxy,0.00026806502442687274
mech_total_cells_early_slope,0.00026571736771394025
spatial_T_CELL_CYTOTOXIC_q95,0.0002640388503973062
bulk_TREG_mean,0.000262882121080591
spatial_WOUND_HEALING_moran_proxy,0.0002622472661910059
mech_macrophage_IFNG_response_mean_final,0.0002606429699143438
rna_INFLAMMATORY_RESPONSE_gene03_logCPM,0.0002596849435126523
mech_count_macrophage_auc,0.0002578225755672412
mech_mean_cytokines_early_slope,0.0002527984057146735
rna_DAMAGE_STRESS_gene04_logCPM,0.0002520811318982644
spatial_IL6_JAK_STAT3_q95,0.00025100227251239373
rna_TREG_FOXP3_IL2RA_CTLA4_module_mean_logCPM,0.0002495949821811541
rna_TREG_FOXP3_IL2RA_CTLA4_gene01_logCPM,0.000248069699992442
rna_ECM_REMODELING_gene02_logCPM,0.0002473802194154678
rna_DAMAGE_STRESS_module_sd_logCPM,0.00024705663899329664
spatial_MYELOID_SUPPRESSION_q95,0.00024454695889034636
rna_INFLAMMATORY_RESPONSE_module_sd_logCPM,0.0002426932284983104
rna_TGFB_SIGNALING_gene02_logCPM,0.00024200159135557493
rna_T_CELL_CYTOTOXIC_gene03_logCPM,0.0002406823627077311
mech_nk_cell_exhaustion_program_mean_final,0.00024003541506123851
bulk_ECM_REMODELING_std,0.00023897058823529432
spatial_HYPOXIA_var,0.00023738579689000755
rna_EMT_FIBROSIS_gene06_logCPM,0.00023590595308682182
rna_MYELOID_SUPPRESSION_gene02_logCPM,0.00023540265497094766
bulk_EXHAUSTION_PD1_LAG3_TIM3_q90,0.00023500411266504933
rna_IL6_JAK_STAT3_gene01_logCPM,0.00023228222870802883
mech_treg_NFkB_inflammatory_mean_auc,0.00023143689642555026
spatial_TGFB_SIGNALING_moran_proxy,0.0002303241271827866
mech_t_cell_NFkB_inflammatory_mean_final,0.00023006102171294982
rna_TGFB_SIGNALING_gene01_logCPM,0.0002287109030361507
bulk_TGFB_SIGNALING_q90,0.00022394045988521522
