task,model,split,class_or_average,status,precision,recall,f1-score,support
regime_classification_all_models,Hybrid Type I: feature concatenation,test,immune_excluded,ok,1.0,0.9,0.9473684210526315,10.0
regime_classification_all_models,Hybrid Type I: feature concatenation,test,suppressed,ok,1.0,1.0,1.0,10.0
regime_classification_all_models,Hybrid Type I: feature concatenation,test,macro avg,ok,0.9666666666666668,0.96,0.9607655502392344,50.0
regime_classification_all_models,Hybrid Type I: feature concatenation,test,weighted avg,ok,0.9666666666666667,0.96,0.9607655502392345,50.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,acute_resolving,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,chronic,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,hyperinflammatory,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,immune_excluded,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,suppressed,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,macro avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,train,weighted avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,acute_resolving,ok,0.75,0.6,0.6666666666666666,10.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,chronic,ok,0.7272727272727273,0.8,0.7619047619047619,10.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,hyperinflammatory,ok,0.4444444444444444,0.4,0.42105263157894735,10.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,immune_excluded,ok,0.5714285714285714,0.4,0.47058823529411764,10.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,suppressed,ok,0.6666666666666666,1.0,0.8,10.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,macro avg,ok,0.631962481962482,0.6399999999999999,0.6240424590888987,50.0
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,test,weighted avg,ok,0.631962481962482,0.64,0.6240424590888987,50.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,train,acute_resolving,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,train,chronic,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,train,hyperinflammatory,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,train,immune_excluded,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,train,suppressed,ok,1.0,1.0,1.0,30.0
