step,time,mean_damage,max_damage,mean_cytokine,max_cytokine,mean_ecm,max_ecm,mean_repair,mean_penetration,mean_necrosis,mean_activation_NFkB,mean_STAT3_IL6,mean_IFN,mean_cytotoxicity,mean_exhaustion,mean_TGFb_suppression,mean_repair_program
10,0.44999999999999996,7.591103915905242e-05,0.0009123385003837601,0.005939949312436583,0.4795574268760909,0.14061190455051029,0.5958385832253676,0.018612239198415606,0.0006388638917743486,0.0,0.21502871169707902,0.21919173757340513,0.2574546329426515,0.17391290827972547,0.3660015626822659,0.12102527890546355,0.23094086641006176
11,0.495,8.526381864749044e-05,0.0010169674453598292,0.006504595617921662,0.5155903258759162,0.1427649944495503,0.5968483691568683,0.0198646345363114,0.000679443878224948,0.0,0.2123882969585635,0.21881619265438776,0.2552250307624494,0.16746009421995645,0.3768483628526413,0.11638021840694696,0.2269350426861818
12,0.54,9.49865571816194e-05,0.0011257793966632764,0.007068495804286705,0.5569077001116142,0.14491861696076833,0.597671650608723,0.02104001246002826,0.0007183392784808111,0.0,0.2105535721823215,0.21898616180469432,0.2535223382136406,0.16228999758164145,0.38706045239888964,0.11255628189901988,0.2236132176090014
13,0.585,0.00010507031194343242,0.0012389450865841708,0.007632231932049996,0.6048116780346017,0.1470882188631654,0.5989223969614802,0.022144613440697767,0.0007554979457418973,0.0,0.20920492638750066,0.21941224483246421,0.25260490431445176,0.1585127549488464,0.3962132653302514,0.10936439180751442,0.2208102951194716
14,0.63,0.00011561301699051616,0.0013566421335827659,0.00819564830056153,0.6382649445750346,0.14924952964918756,0.599954901237386,0.02318286129308579,0.0007928679683917072,0.0,0.2081940122981269,0.21983423099966393,0.2518317765612364,0.15516846492465627,0.404741609476755,0.1067759426400932,0.2183554990965927
15,0.6749999999999999,0.00012657227068938574,0.0014790553098857912,0.008759328263339597,0.6831704028625692,0.1514032395206411,0.6008367887322966,0.024160795142758783,0.0008333398984153894,0.0,0.20754570526893557,0.22052170479399938,0.251437890002193,0.1526308134835661,0.4126499563060336,0.10462027203063745,0.2163663208076447
16,0.72,0.00013793969299753174,0.0016063768183437331,0.009322681077974643,0.7269829694320257,0.15356673634276494,0.6022659700393058,0.025083284717256717,0.0008731164032883028,0.0,0.2069133194533375,0.22116827427517508,0.2506221528652221,0.14991744812783372,0.42033617537973245,0.10291675678986022,0.21473130841096116
17,0.765,0.00014973689755524278,0.0017388065787521747,0.009886103204195324,0.76300723269091,0.1557340209132117,0.6054440844687365,0.025953841984784537,0.0009117701238988815,0.0,0.20653778922648222,0.2218121536054647,0.24966976936742677,0.14735461615629905,0.4272816536169365,0.10156869960825098,0.21332420586296744
18,0.8099999999999999,0.0001620071689685914,0.0018765525238324326,0.010449382703281374,0.7835242120273739,0.15790561207753498,0.6079019271854817,0.02677616520031333,0.0009499902696426093,0.0,0.20619442811522176,0.2223223669420105,0.24917933102219564,0.14546595212808408,0.4329539892056329,0.10034186913631665,0.21215209081995265
19,0.855,0.000174865614187218,0.002023756721686003,0.011013427557165771,0.8083478311147598,0.16006148610905602,0.6110575995596955,0.027553613489418215,0.0009889919975617036,0.0,0.206339868197533,0.22318940664903253,0.24909471694820037,0.14388183639117832,0.43914997385919813,0.09947472010092075,0.21119267864208774
